store_nbr,store_name,latitude,longitude
"1,543",SPEARFISH SD,44.478253,-103.809614
738,CAMDEN TN,36.088981,-88.109279
628,SUMMERVILLE SC,32.950336,-80.155096
"2,555","NEW CASTLE, DE",39.653547,-75.621852
"5,392","BAXLEY, GA",31.786216,-82.364662
"1,752",BAY CITY MI,43.625476,-83.897044
883,RAYMONDVILLE TX,26.455201,-97.78096
49,HUGO OK,34.007244,-95.487949
"1,154",FREDERICKSBURG TX,30.255189,-98.852512
"5,382","PASADENA, MD",39.127134,-76.587172
420,"WICHITA FALLS (N), TX",33.950984,-98.529292
17,NEOSHO MO,36.839161,-94.397282
"2,777","SUPRISE,AZ",33.642814,-112.357981
"1,471",NEW LONDON WI,44.411609,-88.743981
365,"PEARL, MS",32.286503,-90.046199
510,GAINESVILLE GA,34.291749,-83.850529
"1,758",NEW CASTLE IN,39.886727,-85.388692
"1,504",DAYTON/MIAMISBURG OH,39.630925,-84.211631
"1,123",SENECA SC,34.689863,-82.998859
"3,705","YELM, WA",46.934748,-122.577503
"4,176",SHERWOOD OR,45.365946,-122.833616
"3,498","BLAINE, MN",45.159969,-93.159798
"1,776",WATERTOWN WI,43.162076,-88.730179
"1,259",CORBIN KY,36.972144,-84.102527
"2,695","CLERMONT, FL",28.529979,-81.731337
"1,601",CARMEL (WESTFIELD) IN,40.006574,-86.123813
567,CALDWELL TX,30.539125,-96.700254
400,CONROE TX,30.331398,-95.479241
474,EDNA TX,28.988912,-96.649835
"1,619",HENRIETTA NY,43.080591,-77.622719
"4,032",ST PETERSBURG FL FORMER 1536,35.52613,-82.95638
"2,479","SAN DIEGO, CA",32.741638,-117.053603
754,STATESBORO GA,32.434155,-81.759548
"1,807",WEST BERLIN NJ,39.808346,-74.927725
"1,634",LITTLE FALLS MN,45.980168,-94.337543
"2,418",PLACERVILLE CA,38.704034,-120.828964
"3,911","MILWAUKEE, WI FORMER 2936",43.1761,-88.0075
"3,590",SIOUX CITY (N) IA,42.531771,-96.374694
426,THE COLONY TX,33.067119,-96.892062
"3,494",SAN MARCOS CA EF,33.135681,-117.123423
229,TRUMANN AR.,35.681455,-90.549909
"1,214","COLBY, KS",39.367229,-101.047616
404,SAN MARCOS TX,29.883487,-97.912382
"1,913","BOWLING GREEN, OH",41.354048,-83.652427
468,TEXARKANA AR,33.462185,-94.039799
"3,633",WAYNESBORO PA,39.742726,-77.528204
"1,410",TROY OH,40.056617,-84.235585
"1,165",RADCLIFF KY,37.849111,-85.941959
477,SODDY-DAISY TN,35.234344,-85.199343
"4,246","WADENA, MN",46.453235,-95.127366
"3,764","LINDALE, TX",32.474668,-95.387691
"2,510","MINOCQUA, WI",45.889663,-89.721537
568,CARTHAGE TN,36.245582,-85.939075
